publicationId,title,year,authors,sourceOrVenue,publicationType,doi,url,facultyRelationships,researchThemes,geomaticsApproaches,visibility,bibliographicStatus,sourceProvenance,internalNotes,sourceRows,sourceReviewStatuses
habitat-suitability-modeling-of-seagrass-on-santiago-island-pangasinan-using-s-b2fd9e90,"Habitat Suitability Modeling of Seagrass on Santiago Island, Pangasinan Using Satellite Imagery-Derived Environmental Parameters",2026,"GAP Amolato, JAS Cayasfon, ESJ Dumalaog, JM Medina","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,jommer-m-medina,coastal-marine-systems|ecosystems-biodiversity-land-change,earth-observation-remote-sensing|environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,336,READY - supported title and year
integration-of-remote-sensing-and-particle-tracking-modeling-to-locate-marine-413ef950,Integration of Remote Sensing and Particle Tracking Modeling to Locate Marine Litter Accumulations in Manila Bay Pasig River Outfall,2026,"FAF Francisco, EKP Mortega, AM Tamondong, EC Herrera","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-x-5-w4-2025-245-2026,https://doi.org/10.5194/isprs-annals-x-5-w4-2025-245-2026,ayin-m-tamondong,coastal-marine-systems,earth-observation-remote-sensing|environmental-spatial-modeling,internal,source-supported,Supplied Google Scholar profile copy,,282,READY - supported title and year
mapping-the-unseen-the-impact-of-urban-sprawl-on-no2-co-and-o3-pollutants-in-c-9f160dae,"Mapping the Unseen: The Impact of Urban Sprawl on NO2, CO, and O3 Pollutants in Cavite Using Sentinel-2 and Sentinel-5P from 2020 to 2023",2026,"JEN Colendres, JCN de Vera, MP Santos, JM Medina","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,jommer-m-medina,urban-sustainable-systems|water-air-environmental-quality,earth-observation-remote-sensing,internal,source-supported,Supplied Google Scholar profile copy,,338,READY - supported title and year
modeling-land-surface-temperature-lst-and-surface-urban-heat-islands-suhi-in-t-1b8fbed7,Modeling Land Surface Temperature (LST) and Surface Urban Heat Islands (SUHI) in Taguig City (Philippines) using Material Distribution Derived from Linear Spectral Unmixing of PRISMA Hyperspectral Data,2026,"KEM Aguilan, DLT Ngo, AC Blanco, EEE Elazegui","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-X-5-W4-2025-11-2026,https://doi.org/10.5194/isprs-annals-X-5-W4-2025-11-2026,ariel-c-blanco|erica-erin-e-elazegui,climate-hazards-resilience|urban-sustainable-systems,environmental-spatial-modeling,internal,verified,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"167,310",READY - supported title and year
multitemporal-analysis-of-green-spaces-in-manila-philippines-through-a-green-i-70a5aa48,"Multitemporal Analysis of Green Spaces in Manila, Philippines through a Green Index",2026,"FAF Francisco, DDO Gonzales, AMY Narca, JM Medina","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,jommer-m-medina,ecosystems-biodiversity-land-change,,internal,source-supported,Supplied Google Scholar profile copy,,330,READY - supported title and year
onshore-wind-farms-suitability-analysis-using-gis-based-ahp-promethee-ii-2026-703a1f12,Onshore Wind Farms Suitability Analysis Using GIS-based AHP-PROMETHEE II,2026,"CDS Gamboa, MRCO Ang, JM Medina","The International Archives of the Photogrammetry, Remote Sensing and Spatial …",other,,,jommer-m-medina,urban-sustainable-systems,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,337,READY - supported title and year
post-disaster-building-damage-assessment-using-3d-surface-models-derived-from-bb0f4d22,Post-Disaster Building Damage Assessment Using 3D Surface Models Derived from Unmanned Aerial Vehicle (UAV) Imagery,2026,"APJ Manzano, AC Blanco","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,ariel-c-blanco,climate-hazards-resilience|urban-sustainable-systems,earth-observation-remote-sensing|lidar-photogrammetry-3d-geomatics,internal,source-supported,Supplied Google Scholar profile copy,,165,READY - supported title and year
prediction-of-red-tide-events-in-the-philippines-using-modis-derived-oceanogra-7adb430c,Prediction of Red Tide Events in the Philippines using MODIS-derived Oceanographic Parameters and XGBoost,2026,"CAP Arellano, AAC Castillo, AM Tamondong, JM Medina, JED Escoto","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-x-5-w4-2025-51-2026,https://doi.org/10.5194/isprs-annals-x-5-w4-2025-51-2026,ayin-m-tamondong|john-emmanuel-d-escoto|jommer-m-medina,coastal-marine-systems,earth-observation-remote-sensing|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 3 identical title/year source rows.,"279,317,333",READY - supported title and year
spatial-and-socioeconomic-drivers-of-land-use-change-in-high-density-residenti-d3f8dcc1,Spatial and Socioeconomic Drivers of Land Use Change in High-Density Residential Areas (R-3) in Quezon City: A Predictive Simulation Using the Cellular Automata-Markov Chain Model,2026,"WRS Dario, RAD David, EEE Elazegui, ARC Claridades","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,,,erica-erin-e-elazegui,ecosystems-biodiversity-land-change|urban-sustainable-systems,environmental-spatial-modeling|geoai-spatial-data-science,internal,source-supported,Supplied Google Scholar profile copy,,305,READY - supported title and year
spatiotemporal-analysis-of-mining-induced-vegetation-loss-in-homonhon-island-u-74a29306,Spatiotemporal Analysis of Mining-Induced Vegetation Loss in Homonhon Island Using Normalized Difference Vegetation Index: Possible Impacts on Biodiversity and Community,2026,"MA Cruz, FD Rivera","Int. Arch. Photogramm. Remote Sens. Spatial Inf. Sci, 71–78",other,,,margaux-angelica-a-cruz,ecosystems-biodiversity-land-change,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,346,READY - supported title and year
spatiotemporal-analysis-of-the-potential-impact-of-the-masinloc-power-plant-on-222e13ba,"Spatiotemporal Analysis of the Potential Impact of the Masinloc Power Plant on the Thermal Pollution in Oyon Bay, Zambales, and its Correlation to the Seagrass Cover",2026,"LGE Galinato, AM Tolentino, AM Tamondong, JM Medina, SG Salmo III","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-x-5-w4-2025-261-2026,https://doi.org/10.5194/isprs-annals-x-5-w4-2025-261-2026,ayin-m-tamondong|jommer-m-medina,coastal-marine-systems|water-air-environmental-quality,gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,Deduplicated from 2 identical title/year source rows.,"283,339",READY - supported title and year
spatiotemporal-modeling-of-lava-dome-evolution-of-mt-mayon-during-its-2023-eru-44395119,Spatiotemporal Modeling of Lava Dome Evolution of Mt. Mayon during its 2023 Eruption using Remote Sensing Data,2026,"APA Castro, PMC Jatulan, JA Principe, AM Tamondong","ISPRS Annals of the Photogrammetry, Remote Sensing and Spatial Information …",other,10.5194/isprs-annals-x-5-w4-2025-159-2026,https://doi.org/10.5194/isprs-annals-x-5-w4-2025-159-2026,ayin-m-tamondong,climate-hazards-resilience,earth-observation-remote-sensing|environmental-spatial-modeling|gis-spatial-analytics,internal,source-supported,Supplied Google Scholar profile copy,,281,READY - supported title and year
